date,open,high,low,close,volume
2024-06-01,165.5,167.81,165.49,165.99,1058869941.0
2024-06-02,165.99,166.97,161.27,163.02,1562269041.0
2024-06-03,163.03,167.14,161.5,164.88,2182487608.0
2024-06-04,164.88,171.88,164.3,171.81,2057558426.0
2024-06-05,171.81,175.62,171.06,173.58,2405906612.0
2024-06-06,173.57,174.6,167.59,170.1,1965442993.0
2024-06-07,170.1,172.72,153.75,162.47,3298527575.0
2024-06-08,162.46,163.72,157.3,157.79,1722237785.0
2024-06-09,157.79,163.0,156.51,162.12,1475878151.0
2024-06-10,162.12,163.18,157.48,158.98,1815361482.0
2024-06-11,158.99,159.67,144.95,149.32,2812642453.0
2024-06-12,149.32,161.85,145.46,155.18,2853692260.0
2024-06-13,155.18,155.18,145.97,147.23,2085097655.0
2024-06-14,147.23,148.94,139.56,142.98,2330458883.0
2024-06-15,142.98,145.68,142.84,145.45,1065293341.0
2024-06-16,145.45,151.26,142.97,151.22,1147997523.0
2024-06-17,151.22,151.73,139.77,143.25,2244770232.0
2024-06-18,143.24,143.76,128.0,137.37,4046511952.0
2024-06-19,137.34,141.88,134.41,135.59,2241396569.0
2024-06-20,135.59,141.28,131.81,133.49,2343938226.0
2024-06-21,133.49,135.34,128.61,134.54,2214701928.0
2024-06-22,134.56,136.64,132.91,133.65,948392979.0
2024-06-23,133.64,135.05,128.0,128.59,1063910411.0
2024-06-24,128.58,132.57,122.18,132.26,3420423301.0
2024-06-25,132.27,139.89,131.14,136.53,2517391150.0
2024-06-26,136.54,140.37,134.76,136.72,1670038554.0
2024-06-27,136.73,151.15,135.06,149.48,2831651846.0
2024-06-28,149.48,150.62,138.72,139.75,2396070692.0
2024-06-29,139.75,142.97,139.45,140.0,1139066175.0
2024-06-30,140.0,147.44,136.89,146.37,1567841881.0
2024-07-01,146.36,149.11,145.67,146.52,1814659116.0
2024-07-02,146.51,154.8,145.98,153.81,2024773533.0
2024-07-03,153.81,154.26,138.91,140.69,2813419415.0
2024-07-04,140.69,142.61,127.14,127.83,3243822145.0
2024-07-05,127.83,136.45,121.01,134.31,4644036182.0
2024-07-06,134.31,144.31,132.36,143.07,2078535871.0
2024-07-07,143.05,143.37,131.17,131.61,1842515124.0
2024-07-08,131.59,141.93,127.75,139.77,3692404575.0
2024-07-09,139.78,144.28,136.44,141.44,2418798702.0
2024-07-10,141.45,146.31,138.58,141.99,1952272010.0
2024-07-11,141.98,146.0,135.68,135.7,2286890972.0
2024-07-12,135.7,140.63,133.91,139.55,1990173458.0
2024-07-13,139.55,143.64,137.99,141.93,1131518484.0
2024-07-14,141.92,148.6,141.92,147.69,2009294488.0
2024-07-15,147.7,160.13,147.07,159.55,2580623500.0
2024-07-16,159.5,162.62,152.61,160.69,3034234774.0
2024-07-17,160.69,163.84,154.5,155.51,2255652667.0
2024-07-18,155.51,161.63,155.18,159.21,2044591406.0
2024-07-19,159.19,172.57,156.16,169.21,3617009839.0
